,Main_genre,Sec_genre
700,Casual,Pretend Play
701,Strategy,
702,Lifestyle,
703,Shopping,
704,Books & Reference,
705,Role Playing,
706,Casual,Pretend Play
707,Books & Reference,
708,Puzzle,
709,Travel & Local,
710,Arcade,
711,Racing,
712,News & Magazines,
713,Health & Fitness,
714,News & Magazines,
715,Entertainment,
716,Role Playing,
717,Racing,Action & Adventure
718,Action,
719,House & Home,
720,Entertainment,
721,Tools,
722,Casual,
723,Tools,
724,Photography,
725,Video Players & Editors,
726,Communication,
727,Arcade,
728,Communication,
729,Productivity,
730,Action,
731,Finance,
732,Action,
733,Communication,
734,Photography,
735,Social,
736,Action,
737,Word,
738,Casual,
739,Role Playing,
740,Action,
741,Education,
742,Sports,
743,Tools,Education
744,Books & Reference,
745,Finance,
746,Action,
747,Tools,
748,Tools,
749,Tools,
750,Action,
751,Finance,
752,Communication,
753,Tools,
754,Food & Drink,
755,Video Players & Editors,
756,Libraries & Demo,
757,Racing,
758,Communication,
759,Tools,
760,Photography,
761,Casual,Creativity
762,Health & Fitness,
763,Tools,
764,Action,
765,Action,
766,Video Players & Editors,
767,Action,
768,Health & Fitness,
769,Simulation,
770,Food & Drink,
771,Action,
772,Entertainment,
773,Puzzle,
774,Shopping,
775,Health & Fitness,
776,Photography,
777,Shopping,
778,Tools,
779,Social,
780,Action,
781,Education,
782,Dating,
783,Social,
784,Entertainment,
785,Social,
786,Weather,
787,Simulation,
788,Shopping,
789,Photography,
790,Arcade,
791,Trivia,
792,Strategy,
793,Role Playing,
794,Dating,
795,Social,
796,Communication,
797,Communication,
798,Adventure,
799,Entertainment,
800,Racing,
801,Maps & Navigation,
802,Action,
803,Productivity,
804,Personalization,
805,Communication,
806,Entertainment,
807,News & Magazines,
808,Tools,
809,Art & Design,
810,Personalization,
811,Action,
812,News & Magazines,
813,Food & Drink,
814,Action,
815,Action,
816,News & Magazines,
817,Personalization,
818,Strategy,
819,Sports,
820,Adventure,Education
821,Entertainment,
822,Productivity,
823,Business,
824,Maps & Navigation,
825,Dating,
826,Social,
827,Action,
828,Photography,
829,Social,
830,Shopping,
831,Lifestyle,
832,Casual,
833,Sports,
834,Sports,
835,Productivity,
836,Finance,
837,Racing,Action & Adventure
838,Arcade,
839,Weather,
840,Shopping,
841,Finance,
842,Sports,
843,Productivity,
844,Arcade,
845,Adventure,
846,Strategy,
847,Personalization,
848,Tools,
849,Social,
850,Health & Fitness,
851,Education,Brain Games
852,Auto & Vehicles,
853,Tools,
854,Arcade,
855,Racing,
856,Health & Fitness,
857,Entertainment,Brain Games
858,Education,
859,Role Playing,
860,Action,
861,Photography,
862,Casino,
863,Productivity,
864,Personalization,
865,Action,
866,Casino,
867,Books & Reference,
868,Action,
869,Travel & Local,
870,Puzzle,
871,Tools,
872,Arcade,
873,Finance,
874,Arcade,
875,Weather,
876,Travel & Local,
877,Video Players & Editors,
878,Photography,
879,Video Players & Editors,
880,Lifestyle,
881,Communication,
882,Sports,
883,Racing,
884,Arcade,Action & Adventure
885,News & Magazines,
886,Entertainment,
887,Strategy,
888,Education,
889,Simulation,
890,Education,
891,Action,
892,Card,
893,Video Players & Editors,
894,Productivity,
895,Puzzle,
896,Simulation,
897,Photography,
898,Photography,
899,Health & Fitness,
900,Personalization,
901,Travel & Local,
902,Finance,
903,Simulation,
904,Action,
905,News & Magazines,
906,Health & Fitness,
907,Arcade,
908,Education,
909,Education,Brain Games
910,Arcade,
911,News & Magazines,
912,Strategy,
913,Card,
914,Books & Reference,
915,Lifestyle,
916,Casual,
917,Action,
918,Shopping,
919,Communication,
920,Strategy,
921,Productivity,
922,Photography,
923,Shopping,
924,Role Playing,
925,Dating,
926,Entertainment,
927,Arcade,
928,Role Playing,
929,Sports,
930,Photography,
931,Word,
932,Video Players & Editors,
933,Comics,
934,Video Players & Editors,
935,Communication,
936,Entertainment,Brain Games
937,Entertainment,
938,Lifestyle,
939,Action,
940,Racing,
941,Books & Reference,
942,Simulation,
943,News & Magazines,
944,Health & Fitness,
945,Photography,
946,Sports,
947,Health & Fitness,
948,Social,
949,Word,
950,Communication,
951,Action,
952,Health & Fitness,
953,Productivity,
954,Social,
955,Strategy,
956,Tools,
957,Puzzle,
958,Communication,
959,Productivity,
960,Productivity,
961,Tools,
962,Social,
963,Strategy,
964,Art & Design,
965,Photography,
966,Dating,
967,Puzzle,
968,Entertainment,
969,Photography,
970,Sports,
971,Puzzle,
972,Health & Fitness,
973,Travel & Local,
974,Action,
975,Photography,
976,Role Playing,
977,Books & Reference,
978,Casual,Pretend Play
979,Business,
980,Action,Action & Adventure
981,Shopping,
982,Word,
983,Social,
984,Travel & Local,
985,Art & Design,
986,Photography,
987,Education,
988,Trivia,
989,Board,
990,Puzzle,
991,Tools,
992,Shopping,
993,Adventure,
994,Dating,
995,Role Playing,
996,Racing,
997,Education,
998,Photography,
999,Tools,
1000,Books & Reference,
1001,Adventure,
1002,Shopping,
1003,Productivity,
1004,Productivity,
1005,Adventure,
1006,Finance,
1007,Social,
1008,Tools,
1009,Maps & Navigation,
1010,Business,
1011,Education,
1012,Action,
1013,Education,
1014,Board,
1015,Social,
1016,Communication,
1017,Health & Fitness,
1018,Productivity,
1019,Books & Reference,
1020,Casual,
1021,Personalization,
1022,News & Magazines,
1023,Productivity,
1024,Puzzle,
1025,Casino,
1026,Action,
1027,Casual,Pretend Play
1028,Education,
1029,Puzzle,
1030,Sports,
1031,Finance,
1032,Simulation,
1033,Productivity,
1034,Card,
1035,Entertainment,
1036,Puzzle,
1037,Photography,
1038,Auto & Vehicles,
1039,Arcade,
1040,Action,
1041,Art & Design,
1042,Video Players & Editors,
1043,Travel & Local,
1044,Communication,
1045,Photography,
1046,Video Players & Editors,
1047,Tools,
1048,Racing,
1049,Tools,
1050,Communication,
1051,News & Magazines,
1052,Communication,
1053,Arcade,
1054,Health & Fitness,
1055,Strategy,
1056,Role Playing,
1057,Weather,
1058,Business,
1059,Sports,
1060,Puzzle,Brain Games
1061,Role Playing,
1062,Simulation,
1063,Card,
